,state,district,city,latitude,longitude
0,KEDAH,BALING,BALING,5.6831,100.9106
1,KEDAH,BALING,BALING,5.8149,100.8916
2,KEDAH,BALING,BALING,5.7138,100.8009
3,KEDAH,BALING,BALING,5.7073,100.9602
4,KEDAH,BALING,BALING,5.6875,100.9262
5,KEDAH,BALING,BALING,5.6914,100.8494
6,KEDAH,BANDAR BAHARU,SERDANG,5.2144,100.6151
7,KEDAH,BANDAR BAHARU,SERDANG,5.1964,100.5844
8,KEDAH,BANDAR BAHARU,SERDANG,5.2035,100.6273
9,KEDAH,BANDAR BAHARU,SERDANG,5.2455,100.6017
10,KEDAH,BANDAR BAHARU,SERDANG,5.2251,100.595
11,KEDAH,BANDAR BAHARU,SERDANG,5.2648,100.6143
12,KEDAH,KUALA MUDA,SUNGAI PETANI,5.6552,100.5292
13,KEDAH,KUALA MUDA,SUNGAI PETANI,5.647,100.4862
14,KEDAH,KUALA MUDA,SUNGAI PETANI,5.6432,100.5699
15,KEDAH,KUALA MUDA,SUNGAI PETANI,5.6519,100.54899999999999
16,KEDAH,KUALA MUDA,SUNGAI PETANI,5.6852,100.5695
17,KEDAH,KUALA MUDA,SUNGAI PETANI,5.6695,100.4926
18,KEDAH,KUBANG PASU,JITRA,6.2413,100.4322
19,KEDAH,KUBANG PASU,JITRA,6.2793,100.4203
20,KEDAH,KUBANG PASU,JITRA,6.273,100.4583
21,KEDAH,KUBANG PASU,JITRA,6.3288,100.478
22,KEDAH,KUBANG PASU,JITRA,6.2683,100.4248
23,KEDAH,KUBANG PASU,JITRA,6.2757,100.42200000000001
24,KEDAH,KUBANG PASU,JITRA,6.3288,100.478
25,KEDAH,KULIM,KULIM,5.3411,100.5649
26,KEDAH,KULIM,KULIM,5.4165,100.5797
27,KEDAH,KULIM,KULIM,5.309,100.5663
28,KEDAH,KULIM,KULIM,5.3926,100.5367
29,KEDAH,KULIM,KULIM,5.3683,100.5576
30,KEDAH,KULIM,KULIM,5.3846,100.5461
31,KEDAH,KOTA SETAR,ALOR SETAR,6.124,100.3684
32,KEDAH,KOTA SETAR,ALOR SETAR,6.1281,100.3433
33,KEDAH,KOTA SETAR,ALOR SETAR,6.1609,100.3634
34,KEDAH,KOTA SETAR,ALOR SETAR,6.1205,100.3684
35,KEDAH,KOTA SETAR,ALOR SETAR,6.1512,100.3475
36,KEDAH,KOTA SETAR,ALOR SETAR,6.1085,100.3547
37,KEDAH,LANGKAWI,LANGKAWI,6.346,99.7904
38,KEDAH,LANGKAWI,LANGKAWI,6.3311,99.8313
39,KEDAH,LANGKAWI,LANGKAWI,6.285,99.7472
40,KEDAH,LANGKAWI,LANGKAWI,6.3918,99.7166
41,KEDAH,LANGKAWI,LANGKAWI,6.3406,99.7838
42,KEDAH,LANGKAWI,LANGKAWI,6.3613,99.7897
43,KEDAH,PADANG TERAP,KUALA NERANG,6.2465,100.57771
44,KEDAH,PADANG TERAP,KUALA NERANG,6.2692,100.6245
45,KEDAH,PADANG TERAP,KUALA NERANG,6.1984,100.7522
46,KEDAH,PADANG TERAP,KUALA NERANG,6.2803,100.5442
47,KEDAH,PADANG TERAP,KUALA NERANG,6.2010000000000005,100.71799999999999
48,KEDAH,PADANG TERAP,KUALA NERANG,6.2296,100.6219
49,KEDAH,PENDANG,PENDANG,5.9717,100.5149
50,KEDAH,PENDANG,PENDANG,6.0218,100.48100000000001
51,KEDAH,PENDANG,PENDANG,5.9588,100.4771
52,KEDAH,PENDANG,PENDANG,5.9962,100.6077
53,KEDAH,PENDANG,PENDANG,6.0255,100.5213
54,KEDAH,PENDANG,PENDANG,6.0326,100.5413
55,KEDAH,POKOK SENA,POKOK SENA,6.103,100.6163
56,KEDAH,POKOK SENA,POKOK SENA,6.2139,100.5109
57,KEDAH,POKOK SENA,POKOK SENA,6.1091,100.7172
58,KEDAH,POKOK SENA,POKOK SENA,6.0494,100.6156
59,KEDAH,POKOK SENA,POKOK SENA,6.1585,100.5013
60,KEDAH,POKOK SENA,POKOK SENA,6.1176,100.6276
61,KEDAH,SIK,SIK,5.9903,100.8149
62,KEDAH,SIK,SIK,6.0098,100.7514
63,KEDAH,SIK,SIK,5.9835,100.6944
64,KEDAH,SIK,SIK,5.7513,100.726
65,KEDAH,SIK,SIK,5.8261,100.7296
66,KEDAH,SIK,SIK,6.0347,100.7271
67,KEDAH,YAN,YAN,5.7855,100.3724
68,KEDAH,YAN,YAN,5.8398,100.3849
69,KEDAH,YAN,YAN,5.8398,100.4161
70,KEDAH,YAN,YAN,5.8744,100.4222
71,KEDAH,YAN,YAN,5.8544,100.4091
72,KEDAH,YAN,YAN,5.821000000000001,100.3878
73,PERLIS,ARAU,ARAU,6.433,100.2604
74,PERLIS,ARAU,ARAU,6.4256,100.2893
75,PERLIS,ARAU,ARAU,6.3906,100.2511
76,PERLIS,ARAU,ARAU,6.4399,100.3308
77,PERLIS,ARAU,ARAU,6.4345,100.3142
78,PERLIS,ARAU,ARAU,6.4311,100.2531
79,PERLIS,KANGAR,KANGAR,6.4396,100.1926
80,PERLIS,KANGAR,KANGAR,6.4497,100.1981
81,PERLIS,KANGAR,KANGAR,6.4465,100.20299999999999
82,PERLIS,KANGAR,KANGAR,6.462000000000001,100.1685
83,PERLIS,KANGAR,KANGAR,6.5106,100.2535
84,PERLIS,KANGAR,KANGAR,6.4416,100.1922
85,PERLIS,PADANG BESAR,PADANG BESAR,6.6605,100.3115
86,PERLIS,PADANG BESAR,PADANG BESAR,6.6999,100.2097
87,PERLIS,PADANG BESAR,PADANG BESAR,6.6551,100.2802
88,PERLIS,PADANG BESAR,PADANG BESAR,6.6624,100.2852
89,PERLIS,PADANG BESAR,PADANG BESAR,6.6325,100.2721
90,PERLIS,PADANG BESAR,PADANG BESAR,6.6543,100.2545
91,PERLIS,KUALA PERLIS,KUALA PERLIS,6.3968,100.1296
92,PERLIS,KUALA PERLIS,KUALA PERLIS,6.4056,100.1464
93,PERLIS,KUALA PERLIS,KUALA PERLIS,6.4151,100.1492
94,PERLIS,KUALA PERLIS,KUALA PERLIS,6.3919,100.1603
95,PERLIS,KUALA PERLIS,KUALA PERLIS,6.3865,100.1469
96,PERLIS,KUALA PERLIS,KUALA PERLIS,6.4072,100.1491
97,PERAK,BATANG PADANG,TAPAH,4.1963,101.2591
98,PERAK,BATANG PADANG,TAPAH,4.1898,101.2617
99,PERAK,BATANG PADANG,TAPAH,4.2088,101.2566
100,PERAK,BATANG PADANG,TAPAH,4.1887,101.2652
101,PERAK,BATANG PADANG,TAPAH,4.2124,101.2381
102,PERAK,BATANG PADANG,TAPAH,4.2141,101.2914
103,PERAK,HILIR PERAK,TELUK INTAN,4.0183,101.0063
104,PERAK,HILIR PERAK,TELUK INTAN,4.0486,101.0312
105,PERAK,HILIR PERAK,TELUK INTAN,3.9979,101.015
106,PERAK,HILIR PERAK,TELUK INTAN,4.003,101.0362
107,PERAK,HILIR PERAK,TELUK INTAN,4.0796,100.9675
108,PERAK,HILIR PERAK,TELUK INTAN,4.0536,101.04700000000001
109,PERAK,HULU PERAK,GERIK,5.4456,101.1119
110,PERAK,HULU PERAK,GERIK,5.4763,101.1772
111,PERAK,HULU PERAK,LENGGONG,5.171,100.928
112,PERAK,HULU PERAK,LENGGONG,5.1013,100.971
113,PERAK,HULU PERAK,LENGGONG,5.1382,100.9667
114,PERAK,HULU PERAK,LENGGONG,5.0,100.97
115,PERAK,HULU PERAK,LENGGONG,5.282,101.03
116,PERAK,HULU PERAK,LENGGONG,5.309,101.113
117,PERAK,HULU PERAK,GERIK,5.3902,101.1826
118,PERAK,HULU PERAK,GERIK,5.3601,101.1469
119,PERAK,HULU PERAK,GERIK,5.4928,101.149
120,PERAK,HULU PERAK,GERIK,5.3848,101.1092
121,PERAK,KAMPAR,KAMPAR,4.2006,101.1533
122,PERAK,KAMPAR,KAMPAR,4.3239,101.1437
123,PERAK,KAMPAR,KAMPAR,4.2862,101.145
124,PERAK,KAMPAR,KAMPAR,4.2417,101.1396
125,PERAK,KAMPAR,KAMPAR,4.2707,101.1338
126,PERAK,KAMPAR,KAMPAR,4.3144,101.14200000000001
127,PERAK,KERIAN,PARIT BUNTAR,5.1251,100.4892
128,PERAK,KERIAN,PARIT BUNTAR,5.1149,100.477
129,PERAK,KERIAN,PARIT BUNTAR,5.1057,100.48899999999999
130,PERAK,KERIAN,PARIT BUNTAR,5.1169,100.4626
131,PERAK,KERIAN,PARIT BUNTAR,5.1078,100.4891
132,PERAK,KERIAN,PARIT BUNTAR,5.1281,100.4831
133,PERAK,KINTA,IPOH,4.628,101.0969
134,PERAK,KINTA,IPOH,4.6654,101.095
135,PERAK,KINTA,IPOH,4.5977,101.1074
136,PERAK,KINTA,IPOH,4.6517,101.0727
137,PERAK,KINTA,IPOH,4.6227,101.0675
138,PERAK,KINTA,IPOH,4.5969,101.0753
139,PERAK,KUALA KANGSAR,KUALA KANGSAR,4.7668,100.9476
140,PERAK,KUALA KANGSAR,KUALA KANGSAR,4.7701,100.9311
