,postcode,city,state,State Abbreviation,latitude,longitude
0,79000.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
1,79100.0,NUSAJAYA,JOHOR,JHR,1.4835,103.6341
2,79150.0,NUSAJAYA,JOHOR,JHR,1.4968,103.6524
3,79200.0,NUSAJAYA,JOHOR,JHR,1.4836,103.6364
4,79250.0,NUSAJAYA,JOHOR,JHR,1.5034,103.6522
5,79502.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
6,79503.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
7,79504.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
8,79505.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
9,79511.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
10,79513.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
11,79514.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
12,79517.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
13,79518.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
14,79520.0,NUSAJAYA,JOHOR,JHR,1.4569999999999999,103.7623
15,79521.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
16,79523.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
17,79532.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
18,79538.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
19,79540.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
20,79546.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
21,79548.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
22,79550.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
23,79552.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
24,79555.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
25,79570.0,NUSAJAYA,JOHOR,JHR,6.1378,100.3711
26,79575.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
27,79576.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
28,79592.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
29,79601.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
30,79603.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
31,79605.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
32,79606.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
33,79612.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
34,79626.0,NUSAJAYA,JOHOR,JHR,1.4875,103.7518
35,79630.0,NUSAJAYA,JOHOR,JHR,1.4831,103.7541
36,79632.0,NUSAJAYA,JOHOR,JHR,1.4788,103.7416
37,79646.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
38,79658.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
39,79660.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
40,79680.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
41,79681.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
42,79683.0,NUSAJAYA,JOHOR,JHR,1.5014,103.6439
43,80000.0,JOHOR BAHRU,JOHOR,JHR,1.5035,103.7405
44,80050.0,JOHOR BAHRU,JOHOR,JHR,1.4863,103.7713
45,80100.0,JOHOR BAHRU,JOHOR,JHR,1.5041,103.7052
46,80150.0,JOHOR BAHRU,JOHOR,JHR,1.5074,103.7329
47,80200.0,JOHOR BAHRU,JOHOR,JHR,1.4977,103.7163
48,80250.0,JOHOR BAHRU,JOHOR,JHR,1.5035,103.7404
49,80300.0,JOHOR BAHRU,JOHOR,JHR,1.4757,103.7537
50,80350.0,JOHOR BAHRU,JOHOR,JHR,1.5388,103.7012
51,80400.0,JOHOR BAHRU,JOHOR,JHR,1.5017,103.7414
52,80500.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
53,80506.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
54,80508.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
55,80516.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
56,80519.0,JOHOR BAHRU,JOHOR,JHR,1.4582,103.7501
57,80534.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
58,80536.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
59,80542.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
60,80546.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
61,80558.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
62,80560.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
63,80564.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
64,80568.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
65,80578.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
66,80584.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
67,80586.0,JOHOR BAHRU,JOHOR,JHR,1.4583,103.7462
68,80590.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
69,80592.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
70,80594.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
71,80596.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
72,80600.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
73,80604.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
74,80608.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
75,80620.0,JOHOR BAHRU,JOHOR,JHR,1.5384,103.7686
76,80622.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
77,80628.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
78,80644.0,JOHOR BAHRU,JOHOR,JHR,1.4562,103.7613
79,80648.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
80,80662.0,JOHOR BAHRU,JOHOR,JHR,1.4804,103.7426
81,80664.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
82,80668.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
83,80670.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
84,80672.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
85,80673.0,JOHOR BAHRU,JOHOR,JHR,1.4712,103.7748
86,80676.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
87,80700.0,JOHOR BAHRU,JOHOR,JHR,1.4634,103.7547
